Date,State,Cases
27-Jun-24,colorado,40
27-Jun-24,minnesota,67400
27-Jun-24,minnesota,25300
26-Jun-24,colorado,10
24-Jun-24,minnesota,310
21-Jun-24,iowa,46100
18-Jun-24,minnesota,70800
18-Jun-24,minnesota,114600
13-Jun-24,minnesota,32900
12-Jun-24,minnesota,92400
03-Jun-24,iowa,100000
31-May-24,minnesota,43000
29-May-24,minnesota,32400
28-May-24,iowa,4287400
21-May-24,minnesota,1368800
21-May-24,minnesota,51900
21-May-24,minnesota,17100
21-May-24,minnesota,7000
21-May-24,minnesota,6800
10-May-24,michigan,90
09-May-24,california,700
02-May-24,michigan,26400
02-May-24,minnesota,14100
26-Apr-24,michigan,27700
24-Apr-24,michigan,104000
17-Apr-24,michigan,67200
16-Apr-24,michigan,2422700
11-Apr-24,minnesota,68500
09-Apr-24,michigan,2147500
02-Apr-24,michigan,1928500
02-Apr-24,texas,1894100
20-Mar-24,texas,50
11-Mar-24,minnesota,80
11-Mar-24,texas,280
27-Feb-24,minnesota,20
27-Feb-24,ohio,140
21-Feb-24,ohio,10
12-Feb-24,pennsylvania,30
08-Feb-24,colorado,66500
06-Feb-24,pennsylvania,360
31-Jan-24,california,20
18-Jan-24,california,285600
10-Jan-24,minnesota,10
08-Jan-24,california,30
08-Jan-24,california,30
08-Jan-24,colorado,20
05-Jan-24,wisconsin,41000
03-Jan-24,california,764300
03-Jan-24,california,534800
03-Jan-24,california,77900
29-Dec-23,texas,30
28-Dec-23,california,151000
28-Dec-23,california,52400
28-Dec-23,california,37300
27-Dec-23,michigan,31500
27-Dec-23,minnesota,78800
27-Dec-23,ohio,1363900
27-Dec-23,pennsylvania,98300
26-Dec-23,california,709000
20-Dec-23,california,243300
20-Dec-23,california,73700
20-Dec-23,iowa,30
19-Dec-23,california,90
19-Dec-23,california,3600
19-Dec-23,michigan,47900
19-Dec-23,washington,90
18-Dec-23,california,38100
18-Dec-23,california,497700
15-Dec-23,minnesota,90
14-Dec-23,ohio,522300
