Date,State,Cases
09-May-24,california,700
31-Jan-24,california,20
18-Jan-24,california,285600
08-Jan-24,california,30
08-Jan-24,california,30
03-Jan-24,california,764300
03-Jan-24,california,534800
03-Jan-24,california,77900
28-Dec-23,california,151000
28-Dec-23,california,52400
28-Dec-23,california,37300
26-Dec-23,california,709000
20-Dec-23,california,243300
20-Dec-23,california,73700
19-Dec-23,california,90
19-Dec-23,california,3600
18-Dec-23,california,38100
18-Dec-23,california,497700
13-Dec-23,california,1358600
13-Dec-23,california,183100
13-Dec-23,california,6000
07-Dec-23,california,4900
07-Dec-23,california,258600
06-Dec-23,california,232000
05-Dec-23,california,254400
05-Dec-23,california,239900
30-Nov-23,california,5000
30-Nov-23,california,82500
27-Nov-23,california,205500
20-Nov-23,california,23400
26-Oct-23,california,31600
12-Apr-23,california,60
17-Feb-23,california,160
06-Feb-23,california,29100
06-Feb-23,california,30
06-Feb-23,california,8
19-Jan-23,california,20
12-Jan-23,california,23700
09-Jan-23,california,10
09-Jan-23,california,20
09-Jan-23,california,6
22-Dec-22,california,32000
19-Dec-22,california,20
16-Dec-22,california,20
16-Nov-22,california,34700
03-Nov-22,california,150
13-Oct-22,california,54900
04-Oct-22,california,43000
04-Oct-22,california,15100
03-Oct-22,california,20
03-Oct-22,california,51000
20-Sep-22,california,100
15-Sep-22,california,15900
09-Sep-22,california,150
09-Sep-22,california,23900
01-Sep-22,california,22900
01-Sep-22,california,20
01-Sep-22,california,30800
30-Aug-22,california,97000
30-Aug-22,california,7400
30-Aug-22,california,91000
26-Aug-22,california,34800
26-Aug-22,california,161700
23-Aug-22,california,60
22-Aug-22,california,33900
16-Aug-22,california,1100
10-Aug-22,california,40
