Week,Cases
2022-04-04/2022-04-10,30
2022-04-18/2022-04-24,58040
2022-04-25/2022-05-01,1366200
2022-05-16/2022-05-22,10
2022-06-06/2022-06-12,2141800
2022-09-19/2022-09-25,1150000
2022-09-26/2022-10-02,40
2022-10-03/2022-10-09,600
2022-10-10/2022-10-16,100
2022-10-17/2022-10-23,50
2022-10-24/2022-10-30,20
2022-12-05/2022-12-11,11002
2022-12-12/2022-12-18,1291000
2022-12-19/2022-12-25,239700
2023-01-02/2023-01-08,40
2023-01-16/2023-01-22,70
2023-02-20/2023-02-26,40
2023-03-20/2023-03-26,10
2023-03-27/2023-04-02,310
2023-04-10/2023-04-16,30
2023-04-17/2023-04-23,80
2023-04-24/2023-04-30,20
2023-10-09/2023-10-15,30
2023-11-13/2023-11-19,50
2023-11-27/2023-12-03,4160
2023-12-11/2023-12-17,30
2024-01-08/2024-01-14,20
2024-02-05/2024-02-11,66500
2024-06-24/2024-06-30,50
