Week,Cases
2022-02-28/2022-03-06,49840
2022-03-07/2022-03-13,915900
2022-03-14/2022-03-20,5347510
2022-03-21/2022-03-27,304000
2022-03-28/2022-04-03,6673600
2022-04-04/2022-04-10,54100
2022-04-18/2022-04-24,29200
2022-04-25/2022-05-01,4
2022-05-02/2022-05-08,50
2022-10-17/2022-10-23,50
2022-10-31/2022-11-06,2122800
2022-11-07/2022-11-13,20
2022-12-05/2022-12-11,185700
2022-12-12/2022-12-18,241200
2023-01-23/2023-01-29,27700
2023-03-13/2023-03-19,50
2023-10-23/2023-10-29,99150
2023-10-30/2023-11-05,46000
2023-11-06/2023-11-12,24900
2023-11-13/2023-11-19,1134290
2023-11-27/2023-12-03,1616350
2023-12-04/2023-12-10,10
2023-12-18/2023-12-24,30
2024-05-27/2024-06-02,4287400
2024-06-03/2024-06-09,100000
2024-06-17/2024-06-23,46100
