Date,State,Cases
10-May-24,michigan,90
02-May-24,michigan,26400
26-Apr-24,michigan,27700
24-Apr-24,michigan,104000
17-Apr-24,michigan,67200
16-Apr-24,michigan,2422700
09-Apr-24,michigan,2147500
02-Apr-24,michigan,1928500
27-Dec-23,michigan,31500
19-Dec-23,michigan,47900
07-Dec-23,michigan,100
01-Dec-23,michigan,60
15-Nov-23,michigan,20
23-Mar-23,michigan,950
14-Mar-23,michigan,20
30-Dec-22,michigan,30
10-Nov-22,michigan,990
12-Oct-22,michigan,20
11-Oct-22,michigan,40
07-Oct-22,michigan,100
03-Oct-22,michigan,140
19-Sep-22,michigan,40
13-Sep-22,michigan,20
10-May-22,michigan,35100
06-May-22,michigan,50
30-Apr-22,michigan,20
28-Apr-22,michigan,70
27-Apr-22,michigan,80
25-Apr-22,michigan,40
16-Apr-22,michigan,30
15-Apr-22,michigan,20
15-Apr-22,michigan,40
13-Apr-22,michigan,350
11-Apr-22,michigan,70
24-Mar-22,michigan,70
23-Feb-22,michigan,30
