Week,Cases
2022-03-21/2022-03-27,311020
2022-03-28/2022-04-03,181950
2022-04-04/2022-04-10,900100
2022-04-11/2022-04-17,557037
2022-04-18/2022-04-24,809100
2022-04-25/2022-05-01,24470
2022-05-02/2022-05-08,120370
2022-05-09/2022-05-15,710
2022-05-16/2022-05-22,59170
2022-05-30/2022-06-05,40
2022-08-29/2022-09-04,178410
2022-09-05/2022-09-11,101500
2022-09-12/2022-09-18,182724
2022-09-19/2022-09-25,229550
2022-09-26/2022-10-02,80
2022-10-03/2022-10-09,30
2022-10-17/2022-10-23,40
2022-10-24/2022-10-30,128900
2022-10-31/2022-11-06,54100
2022-11-14/2022-11-20,28200
2022-11-21/2022-11-27,44500
2022-12-05/2022-12-11,10000
2022-12-12/2022-12-18,298140
2023-04-03/2023-04-09,100
2023-05-08/2023-05-14,100
2023-10-09/2023-10-15,186000
2023-10-16/2023-10-22,43300
2023-10-23/2023-10-29,98650
2023-10-30/2023-11-05,972100
2023-11-06/2023-11-12,136300
2023-11-13/2023-11-19,97400
2023-11-20/2023-11-26,316508
2023-11-27/2023-12-03,63300
2023-12-04/2023-12-10,110900
2023-12-11/2023-12-17,14490
2023-12-25/2023-12-31,78800
2024-01-08/2024-01-14,10
2024-02-26/2024-03-03,20
2024-03-11/2024-03-17,80
2024-04-08/2024-04-14,68500
2024-04-29/2024-05-05,14100
2024-05-20/2024-05-26,1451600
2024-05-27/2024-06-02,75400
2024-06-10/2024-06-16,125300
2024-06-17/2024-06-23,185400
2024-06-24/2024-06-30,93010
