Date,State,Cases
12-Feb-24,pennsylvania,30
06-Feb-24,pennsylvania,360
27-Dec-23,pennsylvania,98300
17-Mar-23,pennsylvania,2500
16-Mar-23,pennsylvania,11800
16-Mar-23,pennsylvania,1600
16-Mar-23,pennsylvania,2400
15-Mar-23,pennsylvania,60
14-Mar-23,pennsylvania,2400
14-Mar-23,pennsylvania,3900
14-Mar-23,pennsylvania,3000
14-Mar-23,pennsylvania,2400
14-Mar-23,pennsylvania,3000
13-Mar-23,pennsylvania,6000
06-Mar-23,pennsylvania,1700
06-Mar-23,pennsylvania,6000
06-Mar-23,pennsylvania,1800
06-Mar-23,pennsylvania,310
04-Mar-23,pennsylvania,6900
04-Mar-23,pennsylvania,19600
04-Mar-23,pennsylvania,26600
04-Mar-23,pennsylvania,11300
04-Mar-23,pennsylvania,680
03-Mar-23,pennsylvania,5200
27-Feb-23,pennsylvania,4400
24-Feb-23,pennsylvania,3400
24-Feb-23,pennsylvania,4000
23-Feb-23,pennsylvania,2000
22-Feb-23,pennsylvania,4200
21-Feb-23,pennsylvania,97700
17-Feb-23,pennsylvania,50
08-Feb-23,pennsylvania,20300
07-Feb-23,pennsylvania,20
01-Feb-23,pennsylvania,32800
01-Feb-23,pennsylvania,2700
17-Nov-22,pennsylvania,30
10-Nov-22,pennsylvania,18500
10-Nov-22,pennsylvania,160
08-Nov-22,pennsylvania,7500
08-Nov-22,pennsylvania,17400
04-Nov-22,pennsylvania,130
04-Nov-22,pennsylvania,14500
03-Nov-22,pennsylvania,28500
02-Nov-22,pennsylvania,20
17-Oct-22,pennsylvania,15100
11-Oct-22,pennsylvania,2800
05-Oct-22,pennsylvania,10
05-Oct-22,pennsylvania,40
04-Oct-22,pennsylvania,160
29-Sep-22,pennsylvania,180
29-Sep-22,pennsylvania,25900
20-Sep-22,pennsylvania,1800
11-Aug-22,pennsylvania,90
02-Jun-22,pennsylvania,30100
23-May-22,pennsylvania,4700
18-May-22,pennsylvania,7200
17-May-22,pennsylvania,79000
14-May-22,pennsylvania,83700
10-May-22,pennsylvania,23800
10-May-22,pennsylvania,37300
10-May-22,pennsylvania,72300
03-May-22,pennsylvania,29600
03-May-22,pennsylvania,74300
29-Apr-22,pennsylvania,19300
27-Apr-22,pennsylvania,18100
26-Apr-22,pennsylvania,307400
22-Apr-22,pennsylvania,50300
20-Apr-22,pennsylvania,1127700
20-Apr-22,pennsylvania,879400
15-Apr-22,pennsylvania,1380500
