Date,State,Cases
08-Nov-23,utah,60
06-Oct-23,utah,134200
06-Oct-23,utah,7600
28-Nov-22,utah,3000
18-Nov-22,utah,270
25-Oct-22,utah,3900
19-Oct-22,utah,9400
18-Oct-22,utah,100800
13-Oct-22,utah,100000
12-Oct-22,utah,52800
07-Oct-22,utah,26700
07-Oct-22,utah,38900
03-Oct-22,utah,320
29-Sep-22,utah,19300
29-Sep-22,utah,19900
28-Sep-22,utah,24400
27-Sep-22,utah,127200
27-Sep-22,utah,36700
21-Sep-22,utah,11100
20-Sep-22,utah,73200
13-Sep-22,utah,5800
24-Aug-22,utah,20
26-Jul-22,utah,12700
19-Jul-22,utah,23300
14-Jul-22,utah,15500
01-Jul-22,utah,20
13-Jun-22,utah,70
17-May-22,utah,30
11-May-22,utah,20
25-Apr-22,utah,1501200
15-Apr-22,utah,7
