Week,Cases
2022-03-21/2022-03-27,20
2022-04-25/2022-05-01,50
2022-05-02/2022-05-08,120
2022-05-09/2022-05-15,160
2022-05-16/2022-05-22,410
2022-05-23/2022-05-29,247
2022-05-30/2022-06-05,30
2022-06-06/2022-06-12,159
2022-06-13/2022-06-19,30
2022-06-20/2022-06-26,352
2022-06-27/2022-07-03,232
2022-07-04/2022-07-10,20
2022-07-18/2022-07-24,340
2022-07-25/2022-07-31,80
2022-08-15/2022-08-21,12
2022-08-22/2022-08-28,90
2022-09-12/2022-09-18,30
2022-11-07/2022-11-13,150
2022-11-21/2022-11-27,90
2022-11-28/2022-12-04,24600
2022-12-12/2022-12-18,1015500
2022-12-26/2023-01-01,220
2023-01-02/2023-01-08,120
2023-01-16/2023-01-22,20
2023-02-13/2023-02-19,60
2023-03-20/2023-03-26,50
2023-10-16/2023-10-22,10
2023-10-23/2023-10-29,70
2023-11-27/2023-12-03,540
2023-12-18/2023-12-24,90
