Week,Cases
2022-03-14/2022-03-20,2750700
2022-03-28/2022-04-03,20
2022-04-04/2022-04-10,220
2022-04-11/2022-04-17,68590
2022-04-18/2022-04-24,40
2022-04-25/2022-05-01,111070
2022-05-02/2022-05-08,86310
2022-05-09/2022-05-15,10590
2022-05-16/2022-05-22,150
2022-05-23/2022-05-29,40
2022-08-29/2022-09-04,120
2022-09-26/2022-10-02,89500
2022-10-10/2022-10-16,20
2022-10-31/2022-11-06,40
2022-11-07/2022-11-13,187900
2023-11-20/2023-11-26,51308
2023-11-27/2023-12-03,72200
2023-12-04/2023-12-10,183800
2024-01-01/2024-01-07,41000
