Week,Cases
2022-02-21,30
2022-02-28,49840
2022-03-07,915900
2022-03-14,8098210
2022-03-21,615110
2022-03-28,6857278
2022-04-04,954450
2022-04-11,2006644
2022-04-18,2953780
2022-04-25,3348004
2022-05-02,310800
2022-05-09,263680
2022-05-16,145970
2022-05-23,4987
2022-05-30,30170
2022-06-06,2141959
2022-06-13,100
2022-06-20,352
2022-06-27,252
2022-07-04,20
2022-07-11,15500
2022-07-18,23640
2022-07-25,12780
2022-08-01,0
2022-08-08,130
2022-08-15,1112
2022-08-22,230570
2022-08-29,4176790
2022-09-05,125550
2022-09-12,204542
2022-09-19,1465850
2022-09-26,343200
2022-10-03,176170
2022-10-10,210680
2022-10-17,125490
2022-10-24,132820
2022-10-31,2220240
2022-11-07,232770
2022-11-14,63200
2022-11-21,44590
2022-11-28,27600
2022-12-05,206742
2022-12-12,2845860
2022-12-19,271720
2022-12-26,250
2023-01-02,160
2023-01-09,23736
2023-01-16,210
2023-01-23,27700
2023-01-30,35500
2023-02-06,49458
2023-02-13,270
2023-02-20,111340
2023-02-27,74680
2023-03-06,9810
2023-03-13,39130
2023-03-20,1030
2023-03-27,310
2023-04-03,100
2023-04-10,90
2023-04-17,80
2023-04-24,20
2023-05-01,0
2023-05-08,100
2023-05-15,0
2023-05-22,0
2023-05-29,0
2023-06-05,0
2023-06-12,0
2023-06-19,0
2023-06-26,0
2023-07-03,0
2023-07-10,0
2023-07-17,0
2023-07-24,0
2023-07-31,0
2023-08-07,0
2023-08-14,0
2023-08-21,0
2023-08-28,0
2023-09-04,0
2023-09-11,0
2023-09-18,0
2023-09-25,0
2023-10-02,141800
2023-10-09,186030
2023-10-16,43310
2023-10-23,229470
2023-10-30,1018100
2023-11-06,161260
2023-11-13,1231810
2023-11-20,1740176
2023-11-27,2082610
2023-12-04,3913410
2023-12-11,2084520
2023-12-18,904510
2023-12-25,2522230
2024-01-01,1418000
2024-01-08,90
2024-01-15,285600
2024-01-22,0
2024-01-29,20
2024-02-05,66860
2024-02-12,30
2024-02-19,10
2024-02-26,160
2024-03-04,0
2024-03-11,360
2024-03-18,50
2024-03-25,0
2024-04-01,3822600
2024-04-08,2216000
2024-04-15,2489900
2024-04-22,131700
2024-04-29,40500
2024-05-06,790
2024-05-13,0
2024-05-20,1451600
2024-05-27,4362800
2024-06-03,100000
2024-06-10,125300
2024-06-17,231500
2024-06-24,93060
