Week,Cases
2022-02-21/2022-02-27,30
2022-02-28/2022-03-06,693840
2022-03-07/2022-03-13,1718600
2022-03-14/2022-03-20,8413610
2022-03-21/2022-03-27,615090
2022-03-28/2022-04-03,6857278
2022-04-04/2022-04-10,954450
2022-04-11/2022-04-17,2006644
2022-04-18/2022-04-24,2953780
2022-04-25/2022-05-01,3347954
2022-05-02/2022-05-08,310680
2022-05-09/2022-05-15,263520
2022-05-16/2022-05-22,145560
2022-05-23/2022-05-29,4740
2022-05-30/2022-06-05,30140
2022-06-06/2022-06-12,2141800
2022-06-13/2022-06-19,70
2022-06-27/2022-07-03,20
2022-07-11/2022-07-17,15500
2022-07-18/2022-07-24,23300
2022-07-25/2022-07-31,12700
2022-08-08/2022-08-14,130
2022-08-15/2022-08-21,1100
2022-08-22/2022-08-28,230480
2022-08-29/2022-09-04,4176790
2022-09-05/2022-09-11,125550
2022-09-12/2022-09-18,204512
2022-09-19/2022-09-25,1465854
2022-09-26/2022-10-02,343200
2022-10-03/2022-10-09,176170
2022-10-10/2022-10-16,210680
2022-10-17/2022-10-23,125490
2022-10-24/2022-10-30,132820
2022-10-31/2022-11-06,2220240
2022-11-07/2022-11-13,232620
2022-11-14/2022-11-20,63200
2022-11-21/2022-11-27,44500
2022-11-28/2022-12-04,27600
2022-12-05/2022-12-11,206742
2022-12-12/2022-12-18,1830360
2022-12-19/2022-12-25,271720
2022-12-26/2023-01-01,30
2023-01-02/2023-01-08,40
2023-01-09/2023-01-15,23736
2023-01-16/2023-01-22,190
2023-01-23/2023-01-29,27700
2023-01-30/2023-02-05,35500
2023-02-06/2023-02-12,49458
2023-02-13/2023-02-19,210
2023-02-20/2023-02-26,111340
2023-02-27/2023-03-05,74680
2023-03-06/2023-03-12,9810
2023-03-13/2023-03-19,39130
2023-03-20/2023-03-26,980
2023-03-27/2023-04-02,310
2023-04-03/2023-04-09,100
2023-04-10/2023-04-16,90
2023-04-17/2023-04-23,80
2023-04-24/2023-04-30,20
2023-05-08/2023-05-14,100
2023-10-02/2023-10-08,141800
2023-10-09/2023-10-15,186030
2023-10-16/2023-10-22,43300
2023-10-23/2023-10-29,229400
2023-10-30/2023-11-05,1018100
2023-11-06/2023-11-12,161260
2023-11-13/2023-11-19,1231810
2023-11-20/2023-11-26,1933076
2023-11-27/2023-12-03,2082070
2023-12-04/2023-12-10,3913410
2023-12-11/2023-12-17,2084520
2023-12-18/2023-12-24,904420
2023-12-25/2023-12-31,2522230
2024-01-01/2024-01-07,1418000
2024-01-08/2024-01-14,90
2024-01-15/2024-01-21,285600
2024-01-29/2024-02-04,20
2024-02-05/2024-02-11,66860
2024-02-12/2024-02-18,30
2024-02-19/2024-02-25,40
2024-02-26/2024-03-03,160
2024-03-11/2024-03-17,360
2024-03-18/2024-03-24,50
2024-04-01/2024-04-07,3822600
2024-04-08/2024-04-14,2216000
2024-04-15/2024-04-21,2489900
2024-04-22/2024-04-28,131700
2024-04-29/2024-05-05,40500
2024-05-06/2024-05-12,790
2024-05-20/2024-05-26,1451600
2024-05-27/2024-06-02,4362800
2024-06-03/2024-06-09,100000
2024-06-10/2024-06-16,125300
2024-06-17/2024-06-23,231500
2024-06-24/2024-06-30,93060
